country,region,income,source,ref_year,internet_female,internet_male,gap_diff,gap_ratio,gdp_pc_ppp,flfp,enroll_fem,internet_total,urban_pct,gii,log_gdp
Bolivia,Latin America & Caribbean,Lower middle income,Findex 2024,2024,76.7675833910171,81.5395143628361,4.771930971819003,0.9414770739179932,11329.1518061536,72.389,90.2157592773438,79.70469666,71.2361453773988,0.419,9.335134488567771
Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,Findex 2024,2024,84.3440476051407,85.2644495914279,0.920401986287203,0.9892053254234608,20578.4995446816,39.399,90.4367218017578,86.10091103,52.1224302754935,0.157,9.932002098308402
Botswana,Sub-Saharan Africa,Upper middle income,Findex 2024,2024,42.5673637875476,52.9074520720645,10.340088284516902,0.8045627245395826,18107.614452913,63.45,74.0652465820312,57.45950036,67.4623537838418,0.49,9.804087816795771
Brazil,Latin America & Caribbean,Upper middle income,Findex 2024,2024,87.0103314853866,88.1356844757874,1.125352990400799,0.9872315850600792,19652.365499171,53.576,105.251502990723,84.46347227,87.8958549533146,0.39,9.88595299168932
Burkina Faso,Sub-Saharan Africa,Low income,Findex 2024,2024,20.243463552189,43.7570577199066,23.5135941677176,0.46263310668120056,2548.50247702504,64.113,33.2389182465594,28.25270081,28.3352514896662,0.555,7.84326120173373
Cabo Verde,Sub-Saharan Africa,Upper middle income,ITU,2019,60.965,62.9212,1.9561999999999955,0.9689103195743248,9111.62993173269,50.407,103.593505622998,61.9433977593088,71.6254285086577,0.337,9.117306891015698
Cambodia,East Asia & Pacific,Lower middle income,Findex 2024,2024,80.24413927426221,81.8716842466113,1.6275449723490851,0.9801207830603968,7011.58146903703,77.299,63.098667348683,68.47530365,40.8727033252729,0.506,8.85531855644414
Cameroon,Sub-Saharan Africa,Lower middle income,Findex 2024,2024,39.2762934059602,53.6587402120187,14.382446806058496,0.7319645084988958,4916.93354019494,57.104,42.4944197803389,46.25880051,55.4031748609078,0.558,8.500440350988468
Chad,Sub-Saharan Africa,Low income,Findex 2024,2024,7.48358262952616,15.4636331220705,7.980050492544339,0.4839472438624532,2430.73298355271,47.554,19.4390107130432,12.62689972,26.9315292389497,0.67,7.795948130172703
China,East Asia & Pacific,Upper middle income,Findex 2024,2024,89.18184218129271,83.4270366576645,-5.754805523628207,1.0689801023047545,23841.4769141817,59.448,NA,92,65.8946980998325,0.132,10.079182070358621
Colombia,Latin America & Caribbean,Upper middle income,Findex 2024,2024,79.8621723567329,81.5851669250381,1.7229945683051966,0.9788810315251508,18481.8374929368,51.719,103.587738037109,79.34543299,78.5210811866115,0.393,9.824543771688672
Comoros,Sub-Saharan Africa,Lower middle income,Findex 2024,2024,37.4067759712482,50.172935771786896,12.766159800538697,0.7455568504381335,3556.0384263801,47.126,56.4125595092773,32.51750183,33.5392215673301,0.501,8.176402402644054
"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,Findex 2024,2024,25.3433773454454,38.3761022637725,13.0327249183271,0.6603947730608861,1601.70926640422,61.886,42.9527015686035,19.67350006,44.7455804408753,0.604,7.378826629513212
"Congo, Rep.",Sub-Saharan Africa,Lower middle income,Findex 2024,2024,27.46899558145,40.4232997280092,12.954304146559195,0.679533728475333,6152.5650911844205,65.604,NA,47.25159836,63.8866111699904,0.565,8.724624361841009
Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,Findex 2024,2024,40.966867939264304,53.2761144004238,12.309246461159496,0.7689537497302622,6747.0379677706,59.465,64.4785040152839,41.43219902,53.9733113940142,0.589,8.816858867967543
Cuba,Latin America & Caribbean,Upper middle income,ITU,2019,75.1128,60.7326,-14.380199999999997,1.2367789292735696,NA,44.687,101.62084197998,67.9708086565152,77.0728225708008,0.304,NA
Dominican Republic,Latin America & Caribbean,Upper middle income,Findex 2024,2024,91.0809841088496,87.52965779346489,-3.5513263153847134,1.0405728344530312,24229.8894872915,53.266,80.5245385688015,91.0022446,72.4121874752151,0.417,10.095342252813438
Ecuador,Latin America & Caribbean,Upper middle income,Findex 2024,2024,79.8016741068429,86.0059082449953,6.204234138152401,0.927862698449982,13922.4222780744,52.394,94.1827583420861,77.17273115,63.2376932397602,0.358,9.541255932979174
"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Findex 2024,2024,43.94768181141,65.5887796650037,21.6410978535937,0.6700487802315254,16798.151577838,18.468,83.9216814420657,74.64839935,42.8004363938404,0.398,9.729024134209451
El Salvador,Latin America & Caribbean,Upper middle income,Findex 2024,2024,79.80084415144209,82.1676751398466,2.3668309884045016,0.9711951082420645,11647.0234480127,48.957,61.1295384065253,66.47769928,75.0674905102199,0.362,9.362805928324004
Eswatini,Sub-Saharan Africa,Lower middle income,Findex 2024,2024,46.5484245936459,58.153150031123005,11.604725437477107,0.8004454542657384,10386.2145717572,48.422,NA,63.40309906,26.2498461258639,0.484,9.248234683901735
Ethiopia,Sub-Saharan Africa,Low income,Findex 2024,2024,7.16518566083912,20.8579218877955,13.69273622695638,0.3435234679362594,2892.22220162795,58.391,NA,21.94129944,23.6222839355469,0.497,7.969780413531821
Gabon,Sub-Saharan Africa,Upper middle income,Findex 2024,2024,66.2634773830321,71.0549708273929,4.79149344436081,0.9325663864390245,18923.6616609778,41.808,NA,68.72090149,91.8632094677575,0.505,9.848168357758924
"Gambia, The",Sub-Saharan Africa,Low income,Findex 2024,2024,66.5677629843551,62.9907034542792,-3.5770595300759,1.05678710244397,3057.6841778633,45.428,116.372766553778,49.49430084,64.2994103409645,0.578,8.025413103805404
Georgia,Europe & Central Asia,Upper middle income,Findex 2024,2024,82.8937052498611,80.64600127282459,-2.247703977036508,1.0278712390144744,24146.6234108645,56.673,97.8280378119792,83.79855689,61.0789605093733,0.257,10.091899831949855
